subject	stage	source	n_epochs	indices_1based
S01	pre_ica_BTmark_iter1	sheet_eeglab	67	13 18 22 26 27 28 29 30 33 37 39 41 43 47 48 50 52 53 57 60 61 71 72 73 74 75 76 77 78 79 80 82 83 84 88 89 91 92 93 95 97 98 99 100 110 115 120 184 219 220 221 225 237 239 245 304 313 343 344 359 360 361 362 363 364 381 444
S01	post_ica_artifact	sheet_eeglab	53	12 17 18 19 20 21 22 24 27 28 29 33 36 45 48 50 51 52 53 56 57 58 65 70 76 77 78 95 134 157 160 167 170 178 180 183 184 185 229 233 257 265 281 300 301 302 303 334 348 354 368 378 409
S01	brainlife_first	brainlife_plus1	67	13 18 22 26 27 28 29 30 33 37 39 41 43 47 48 50 52 53 57 60 61 71 72 73 74 75 76 77 78 79 80 82 83 84 88 89 91 92 93 95 97 98 99 100 110 115 120 184 219 220 221 225 237 239 245 304 313 343 344 359 360 361 362 363 364 381 444
S01	brainlife_second	brainlife_plus1	53	12 17 18 19 20 21 22 24 27 28 29 33 36 45 48 50 51 52 53 56 57 58 65 70 76 77 78 95 134 157 160 167 170 178 180 183 184 185 229 233 257 265 281 300 301 302 303 334 348 354 368 378 409
S02	pre_ica_BTmark_iter1	sheet_eeglab	40	13 26 34 36 72 73 117 118 140 142 148 169 178 216 228 230 235 240 245 261 262 263 277 291 306 307 315 330 331 332 333 348 381 411 412 413 438 439 452 455
S02	post_ica_artifact	sheet_eeglab	78	1 6 13 17 25 28 29 31 34 35 39 40 41 42 45 51 60 68 79 86 89 93 95 105 111 114 129 132 147 158 159 164 166 167 192 197 203 204 206 207 209 214 215 219 227 253 255 259 268 269 276 282 289 291 292 317 321 322 349 356 365 367 378 380 384 387 390 391 396 399 402 403 408 410 412 413 418 420
S02	brainlife_first	brainlife_plus1	40	13 26 34 36 72 73 117 118 140 142 148 169 178 216 228 230 235 240 245 261 262 263 277 291 306 307 315 330 331 332 333 348 381 411 412 413 438 439 452 455
S02	brainlife_second	brainlife_plus1	78	1 6 13 17 25 28 29 31 34 35 39 40 41 42 45 51 60 68 79 86 89 93 95 105 111 114 129 132 147 158 159 164 166 167 192 197 203 204 206 207 209 214 215 219 227 253 255 259 268 269 276 282 289 291 292 317 321 322 349 356 365 367 378 380 384 387 390 391 396 399 402 403 408 410 412 413 418 420
S03	pre_ica_BTmark_iter1	sheet_eeglab	50	16 23 30 39 45 59 60 61 62 63 64 65 66 67 68 77 80 85 101 119 120 128 132 135 161 162 166 172 203 204 220 229 230 237 257 266 279 303 304 323 342 369 383 387 388 389 390 439 440 456
S03	pre_ica_BTmark_iter2	sheet_eeglab	61	6 16 23 24 30 39 45 54 59 60 61 62 63 64 65 66 67 68 80 85 93 101 119 120 122 128 132 135 140 148 155 161 162 166 172 203 204 220 229 230 237 257 266 278 279 297 303 304 308 323 342 356 369 383 387 388 389 390 439 440 456
S03	post_ica_artifact	sheet_eeglab	73	18 19 34 38 39 48 53 54 57 59 60 61 65 68 72 75 76 81 85 88 91 97 100 103 105 116 124 127 129 137 138 140 141 158 162 168 169 171 180 184 191 199 207 213 216 232 249 254 257 258 262 265 269 277 303 310 311 314 316 322 323 328 346 349 357 360 366 368 373 376 378 381 403
S03	brainlife_first	brainlife_plus1	50	16 23 30 39 45 59 60 61 62 63 64 65 66 67 68 77 80 85 101 119 120 128 132 135 161 162 166 172 203 204 220 229 230 237 257 266 279 303 304 323 342 369 383 387 388 389 390 439 440 456
S03	brainlife_second	brainlife_plus1	61	6 16 23 24 30 39 45 54 59 60 61 62 63 64 65 66 67 68 80 85 93 101 119 120 122 128 132 135 140 148 155 161 162 166 172 203 204 220 229 230 237 257 266 278 279 297 303 304 308 323 342 356 369 383 387 388 389 390 439 440 456
S04	pre_ica_BTmark_iter1	sheet_eeglab	37	32 40 44 50 66 70 78 83 87 100 104 114 138 149 184 200 227 237 262 272 273 281 290 304 312 314 331 359 360 361 373 378 383 395 396 404 405
S04	post_ica_artifact	sheet_eeglab	54	26 36 38 44 50 66 71 75 81 82 92 103 106 118 122 135 137 141 143 152 178 180 197 201 202 208 212 245 248 258 260 268 269 280 288 289 290 294 295 304 316 319 325 326 332 355 359 362 364 373 375 378 380 393
S04	brainlife_first	brainlife_plus1	37	32 40 44 50 66 70 78 83 87 100 104 114 138 149 184 200 227 237 262 272 273 281 290 304 312 314 331 359 360 361 373 378 383 395 396 404 405
S04	brainlife_second	brainlife_plus1	54	26 36 38 44 50 66 71 75 81 82 92 103 106 118 122 135 137 141 143 152 178 180 197 201 202 208 212 245 248 258 260 268 269 280 288 289 290 294 295 304 316 319 325 326 332 355 359 362 364 373 375 378 380 393
S05	pre_ica_BTmark_iter1	sheet_eeglab	34	76 106 120 133 147 160 173 192 200 202 204 239 240 253 270 271 324 328 329 352 359 360 393 407 412 425 446 449 450 453 454 465 472 475
S05	post_ica_artifact	sheet_eeglab	48	27 34 67 86 87 99 104 118 127 128 133 142 143 155 163 168 180 182 184 185 186 192 196 198 203 209 228 229 230 240 255 256 257 261 265 303 333 339 340 349 359 383 395 405 420 422 440 441
S05	brainlife_first	brainlife_plus1	34	76 106 120 133 147 160 173 192 200 202 204 239 240 253 270 271 324 328 329 352 359 360 393 407 412 425 446 449 450 453 454 465 472 475
S05	brainlife_second	brainlife_plus1	48	27 34 67 86 87 99 104 118 127 128 133 142 143 155 163 168 180 182 184 185 186 192 196 198 203 209 228 229 230 240 255 256 257 261 265 303 333 339 340 349 359 383 395 405 420 422 440 441
S06	post_ica_artifact	sheet_eeglab	30	36 39 44 65 120 135 154 182 193 196 206 207 208 209 216 227 228 254 256 269 285 316 336 349 358 366 368 372 391 439
S06	brainlife_first	brainlife_plus1	30	36 39 44 65 120 135 154 182 193 196 206 207 208 209 216 227 228 254 256 269 285 316 336 349 358 366 368 372 391 439
S08	pre_ica_BTmark_iter1	sheet_eeglab	14	24 53 60 69 70 73 79 148 160 201 203 289 389 454
S08	post_ica_artifact	sheet_eeglab	23	7 15 20 32 82 168 192 196 224 244 297 307 314 321 329 336 347 358 364 377 403 428 446
S08	brainlife_first	brainlife_plus1	14	24 53 60 69 70 73 79 148 160 201 203 289 389 454
S08	brainlife_second	brainlife_plus1	23	7 15 20 32 82 168 192 196 224 244 297 307 314 321 329 336 347 358 364 377 403 428 446
S09	pre_ica_BTmark_iter1	sheet_eeglab	16	3 96 98 138 183 202 211 212 239 303 316 327 328 342 385 416
S09	post_ica_artifact	sheet_eeglab	7	21 83 161 182 254 365 393
S09	brainlife_first	brainlife_plus1	16	3 96 98 138 183 202 211 212 239 303 316 327 328 342 385 416
S09	brainlife_second	brainlife_plus1	7	21 83 161 182 254 365 393
S10	pre_ica_BTmark_iter1	sheet_eeglab	21	19 20 34 36 41 91 117 147 152 163 187 226 227 280 315 333 355 391 398 441 472
